source_date,code,name,market,market_slug,sector,industry
20260331,5990,スーパーツール,スタンダード,standard,金属製品,建設・資材
20260331,5991,日本発條,プライム,prime,金属製品,建設・資材
20260331,5992,中央発條,スタンダード,standard,金属製品,建設・資材
20260331,5994,ファインシンター,スタンダード,standard,金属製品,建設・資材
20260331,5997,協立エアテック,スタンダード,standard,金属製品,建設・資材
20260331,5998,アドバネクス,スタンダード,standard,金属製品,建設・資材
20260331,6005,三浦工業,プライム,prime,機械,機械
20260331,6013,タクマ,プライム,prime,機械,機械
20260331,6016,ジャパンエンジンコーポレーション,スタンダード,standard,輸送用機器,自動車・輸送機
20260331,6018,阪神内燃機工業,スタンダード,standard,輸送用機器,自動車・輸送機
20260331,6022,赤阪鐵工所,スタンダード,standard,機械,機械
20260331,6023,ダイハツインフィニアース,スタンダード,standard,輸送用機器,自動車・輸送機
20260331,6027,弁護士ドットコム,プライム,prime,サービス業,情報通信・サービスその他
20260331,6029,アトラグループ,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6030,アドベンチャー,グロース,growth,サービス業,情報通信・サービスその他
20260331,6031,ＺＥＴＡ,グロース,growth,サービス業,情報通信・サービスその他
20260331,6033,エクストリーム,グロース,growth,サービス業,情報通信・サービスその他
20260331,6034,ＭＲＴ,グロース,growth,サービス業,情報通信・サービスその他
20260331,6035,アイ・アールジャパンホールディングス,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6036,ＫｅｅＰｅｒ技研,プライム,prime,サービス業,情報通信・サービスその他
20260331,6037,楽待,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6038,イード,グロース,growth,サービス業,情報通信・サービスその他
20260331,6039,日本動物高度医療センター,グロース,growth,サービス業,情報通信・サービスその他
20260331,6040,日本スキー場開発,グロース,growth,サービス業,情報通信・サービスその他
20260331,6042,ニッキ,スタンダード,standard,輸送用機器,自動車・輸送機
20260331,6044,三機サービス,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6045,レントラックス,グロース,growth,サービス業,情報通信・サービスその他
20260331,6046,リンクバル,グロース,growth,サービス業,情報通信・サービスその他
20260331,6047,Ｇｕｎｏｓｙ,プライム,prime,サービス業,情報通信・サービスその他
20260331,6049,イトクロ,グロース,growth,サービス業,情報通信・サービスその他
20260331,6050,イー・ガーディアン,プライム,prime,サービス業,情報通信・サービスその他
20260331,6054,リブセンス,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6055,ジャパンマテリアル,プライム,prime,サービス業,情報通信・サービスその他
20260331,6058,ベクトル,プライム,prime,サービス業,情報通信・サービスその他
20260331,6059,ウチヤマホールディングス,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6061,ユニバーサル園芸社,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6062,チャーム・ケア・コーポレーション,プライム,prime,サービス業,情報通信・サービスその他
20260331,6063,日本エマージェンシーアシスタンス,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6069,トレンダーズ,グロース,growth,サービス業,情報通信・サービスその他
20260331,6070,キャリアリンク,プライム,prime,サービス業,情報通信・サービスその他
20260331,6071,ＩＢＪ,プライム,prime,サービス業,情報通信・サービスその他
20260331,6072,地盤ネットホールディングス,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6073,アサンテ,プライム,prime,サービス業,情報通信・サービスその他
20260331,6074,ジェイエスエス,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6078,バリューＨＲ,プライム,prime,サービス業,情報通信・サービスその他
20260331,6080,Ｍ＆Ａキャピタルパートナーズ,プライム,prime,サービス業,情報通信・サービスその他
20260331,6081,アライドアーキテクツ,グロース,growth,サービス業,情報通信・サービスその他
20260331,6082,ライドオンエクスプレスホールディングス,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6083,ＥＲＩホールディングス,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6085,アーキテクツ・スタジオ・ジャパン,グロース,growth,サービス業,情報通信・サービスその他
20260331,6086,シンメンテホールディングス,グロース,growth,サービス業,情報通信・サービスその他
20260331,6087,アビスト,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6088,シグマクシス・ホールディングス,プライム,prime,サービス業,情報通信・サービスその他
20260331,6089,ウィルグループ,プライム,prime,サービス業,情報通信・サービスその他
20260331,6090,ヒューマン・メタボローム・テクノロジーズ,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6091,ウエスコホールディングス,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6092,エンバイオ・ホールディングス,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6093,エスクロー・エージェント・ジャパン,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6094,フリークアウト・ホールディングス,グロース,growth,サービス業,情報通信・サービスその他
20260331,6096,レアジョブ,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6098,リクルートホールディングス,プライム,prime,サービス業,情報通信・サービスその他
20260331,6099,エラン,プライム,prime,サービス業,情報通信・サービスその他
20260331,6101,ツガミ,プライム,prime,機械,機械
20260331,6103,オークマ,プライム,prime,機械,機械
20260331,6104,芝浦機械,プライム,prime,機械,機械
20260331,6113,アマダ,プライム,prime,機械,機械
20260331,6118,アイダエンジニアリング,プライム,prime,機械,機械
20260331,6125,岡本工作機械製作所,スタンダード,standard,機械,機械
20260331,6134,ＦＵＪＩ,プライム,prime,機械,機械
20260331,6135,牧野フライス製作所,プライム,prime,機械,機械
20260331,6136,オーエスジー,プライム,prime,機械,機械
20260331,6137,小池酸素工業,スタンダード,standard,機械,機械
20260331,6138,ダイジェット工業,スタンダード,standard,機械,機械
20260331,6140,旭ダイヤモンド工業,プライム,prime,機械,機械
20260331,6141,ＤＭＧ森精機,プライム,prime,機械,機械
20260331,6143,ソディック,プライム,prime,機械,機械
20260331,6144,西部電機,スタンダード,standard,機械,機械
20260331,6145,ＮＩＴＴＯＫＵ,スタンダード,standard,機械,機械
20260331,6146,ディスコ,プライム,prime,機械,機械
20260331,6147,ヤマザキ,スタンダード,standard,機械,機械
20260331,6149,小田原エンジニアリング,スタンダード,standard,機械,機械
20260331,6150,タケダ機械,スタンダード,standard,機械,機械
20260331,6151,日東工器,プライム,prime,機械,機械
20260331,6155,高松機械工業,スタンダード,standard,機械,機械
20260331,6156,エーワン精密,スタンダード,standard,機械,機械
20260331,6157,日進工具,スタンダード,standard,機械,機械
20260331,6158,和井田製作所,スタンダード,standard,機械,機械
20260331,6159,ミクロン精密,スタンダード,standard,機械,機械
20260331,6161,エスティック,スタンダード,standard,機械,機械
20260331,6165,パンチ工業,スタンダード,standard,機械,機械
20260331,6166,中村超硬,グロース,growth,機械,機械
20260331,6167,冨士ダイス,プライム,prime,機械,機械
20260331,6171,土木管理総合試験所,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6173,アクアライン,グロース,growth,サービス業,情報通信・サービスその他
20260331,6176,ブランジスタ,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6177,ＡｐｐＢａｎｋ,グロース,growth,サービス業,情報通信・サービスその他
20260331,6178,日本郵政,プライム,prime,サービス業,情報通信・サービスその他
20260331,6180,ＧＭＯメディア,グロース,growth,サービス業,情報通信・サービスその他
20260331,6181,タメニー,グロース,growth,サービス業,情報通信・サービスその他
20260331,6182,メタリアル,グロース,growth,サービス業,情報通信・サービスその他
20260331,6183,ベルシステム２４ホールディングス,プライム,prime,サービス業,情報通信・サービスその他
20260331,6184,鎌倉新書,プライム,prime,サービス業,情報通信・サービスその他
20260331,6185,ＳＭＮ,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6186,一蔵,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6189,グローバルキッズＣＯＭＰＡＮＹ,スタンダード,standard,サービス業,情報通信・サービスその他
20260331,6190,フェニックスバイオ,グロース,growth,サービス業,情報通信・サービスその他
20260331,6191,エアトリ,プライム,prime,サービス業,情報通信・サービスその他
20260331,6193,バーチャレクス・ホールディングス,グロース,growth,サービス業,情報通信・サービスその他
20260331,6194,アトラエ,プライム,prime,サービス業,情報通信・サービスその他
20260331,6195,ホープ,グロース,growth,サービス業,情報通信・サービスその他
20260331,6196,ストライク,プライム,prime,サービス業,情報通信・サービスその他
20260331,6197,ソラスト,プライム,prime,サービス業,情報通信・サービスその他
